"POLITICAL_UNIT","NAME","WGMS_ID","PSFG_ID","WGI_ID","GLIMS_ID","RGI_ID","REMARKS"
"AF","UNNAMED 17726",17726,,,"G074273E37146N","RGI50-14.20557","Information derived from RGI5.0."
"AF","UNNAMED 17727",17727,,,"G074247E37160N","RGI50-14.20560","Information derived from RGI5.0."
"AF","UNNAMED 17728",17728,,,"G074256E37158N","RGI50-14.20561","Information derived from RGI5.0."
"AF","UNNAMED 17729",17729,,,"G074247E37096N","RGI50-14.20565","Information derived from RGI5.0."
"AF","UNNAMED 17730",17730,,,"G074215E37093N","RGI50-14.20566","Information derived from RGI5.0."
"AF","UNNAMED 17731",17731,,,"G074258E37082N","RGI50-14.20570","Information derived from RGI5.0."
"AF","UNNAMED 17732",17732,,,"G073253E36925N","RGI50-14.20571","Information derived from RGI5.0."
"AF","UNNAMED 17733",17733,,,"G072967E36898N","RGI50-14.20612","Information derived from RGI5.0."
"AF","UNNAMED 17734",17734,,,"G072918E36871N","RGI50-14.20615","Information derived from RGI5.0."
"AF","UNNAMED 17735",17735,,,"G073007E36874N","RGI50-14.20620","Information derived from RGI5.0."
"AF","UNNAMED 17771",17771,,,"G073262E36901N","RGI50-14.21636","Information derived from RGI5.0."
"AF","UNNAMED 17772",17772,,,"G073215E36913N","RGI50-14.21639","Information derived from RGI5.0."
"AF","UNNAMED 17785",17785,,,"G072894E36859N","RGI50-14.22164","Information derived from RGI5.0."
"AF","UNNAMED 17786",17786,,,"G072850E36860N","RGI50-14.22169","Information derived from RGI5.0."
"AF","UNNAMED 17787",17787,,,"G072715E36856N","RGI50-14.22185","Information derived from RGI5.0."
"AF","UNNAMED 17788",17788,,,"G072643E36891N","RGI50-14.22189","Information derived from RGI5.0."
"AF","UNNAMED 17789",17789,,,"G072542E36883N","RGI50-14.22205","Information derived from RGI5.0."
"AF","UNNAMED 17790",17790,,,"G072601E36854N","RGI50-14.22208","Information derived from RGI5.0."
"AF","UNNAMED 17791",17791,,,"G072399E36808N","RGI50-14.22225","Information derived from RGI5.0."
"AF","UNNAMED 17797",17797,,,"G072422E36860N","RGI50-14.22276","Information derived from RGI5.0."
"AF","UNNAMED 17798",17798,,,"G072518E36822N","RGI50-14.22280","Information derived from RGI5.0."
"AF","UNNAMED 17799",17799,,,"G072472E36811N","RGI50-14.22281","Information derived from RGI5.0."
"AF","UNNAMED 17800",17800,,,"G072630E36887N","RGI50-14.22297","Information derived from RGI5.0."
"AF","UNNAMED 17801",17801,,,"G072768E36874N","RGI50-14.22315","Information derived from RGI5.0."
"AF","UNNAMED 17803",17803,,,"G072805E36867N","RGI50-14.22321","Information derived from RGI5.0."
"AF","UNNAMED 17823",17823,,,"G071790E36471N","RGI50-14.22570","Information derived from RGI5.0."
"AF","UNNAMED 17824",17824,,,"G071564E36440N","RGI50-14.22589","Information derived from RGI5.0."
"AF","UNNAMED 17825",17825,,,"G071478E36424N","RGI50-14.22598","Information derived from RGI5.0."
"AF","UNNAMED 17826",17826,,,"G071533E36447N","RGI50-14.22600","Information derived from RGI5.0."
"AF","UNNAMED 17827",17827,,,"G071558E36462N","RGI50-14.22614","Information derived from RGI5.0."
"AF","UNNAMED 17828",17828,,,"G071602E36480N","RGI50-14.22631","Information derived from RGI5.0."
"AF","UNNAMED 17829",17829,,,"G071645E36493N","RGI50-14.22635","Information derived from RGI5.0."
