"POLITICAL_UNIT","NAME","WGMS_ID","Year","TIME_SYSTEM","BEGIN_PERIOD","END_WINTER","END_PERIOD","ELA_PREFIX","ELA","ELA_UNC","MIN_SITES_ACC","MAX_SITES_ACC","MIN_SITES_ABL","MAX_SITES_ABL","ACC_AREA","ACC_AREA_UNC","ABL_AREA","ABL_AREA_UNC","AAR","PUB_IN_MBB","PUB_IN_FOG","INVESTIGATOR","SPONS_AGENCY","REFERENCE","REMARKS"
"AT","KLEINFLEISS K.",547,2008,"COM",20071003,20080624,20081014,,3020,20.00000,3,10,8,11,0.2100000,0.0500000,0.6600000,0.0500000,24.00000,2009,2010,"Hynek B. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Schöner W. (ZAMG), Böhm R. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2011): GMBB No. 11 (2008-2009). WGMS (2012): FoG 2005-2010 (Vol. X).",
"AT","KLEINFLEISS K.",547,2009,"COM",20081014,20090502,20090917,,2875,20.00000,3,10,8,11,0.2300000,0.0500000,0.6400000,0.0500000,26.00000,2009,2010,"Hynek B. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Schöner W. (ZAMG), Böhm R. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2011): GMBB No. 11 (2008-2009). WGMS (2012): FoG 2005-2010 (Vol. X).",
"AT","KLEINFLEISS K.",547,2010,"COM",20090917,,20100829,,2950,,,,,,,,,,48.00000,2011,2010,"Hynek B. (ZAMG), Springer C. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Böhm R. (ZAMG), Schöner W. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2013): GMBB No. 12 (2010-2011). WGMS (2012): FoG 2005-2010 (Vol. X).",
"AT","KLEINFLEISS K.",547,2011,"COM",20110829,20120429,20120918,">",3100,,0,0,9,12,0.0001000,0.0100000,0.8210000,0.0100000,0.0000000,2011,,"Hynek B. (ZAMG), Springer C. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG), Böhm R. (ZAMG), Schöner W. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2013): GMBB No. 12 (2010-2011). ",
"AT","KLEINFLEISS K.",547,2012,"COM",20110919,20120503,20121004,">",3100,,0,10,12,20,0.0469000,0.0100000,0.7340000,0.0100000,6.000000,,,"Hynek B. (ZAMG), Schöner W. (ZAMG), Reisenhofer S. (ZAMG), Unger R. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2015): GGCB No. 1 (2012-2013).",
"AT","KLEINFLEISS K.",547,2013,"COM",20121004,20130425,20130927,,2840,30.00000,1,30,9,20,0.4177000,0.0100000,0.3632000,0.0100000,54.00000,,,"Hynek B. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik","WGMS (2015): GGCB No. 1 (2012-2013).",
"AT","KLEINFLEISS K.",547,2014,"COM",20130927,20140430,20140928,,2800,30.00000,1,138,7,20,0.6100000,0.0100000,0.1700000,0.0100000,78.00000,,,"Hynek B. (ZAMG), Neureiter A. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik",,
"AT","KLEINFLEISS K.",547,2015,"COM",20140928,,20151005,">",3050,,0,196,10,13,0.0000000,0.0100000,0.7800000,0.0100000,0.0000000,,,"Hynek B. (ZAMG), Neureiter A. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik",,
"AT","KLEINFLEISS K.",547,2016,"COM",20151005,20160506,20160915,,2990,30.00000,0,202,12,12,0.2600000,0.0100000,0.5300000,0.0100000,33.00000,,,"Hynek B. (ZAMG), Neureiter A. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik",,
"AT","KLEINFLEISS K.",547,2017,"COM",20160915,20170504,20170901,">",3050,,0,234,12,14,0.0000000,0.0100000,0.7800000,0.0100000,0.0000000,,,"Hynek B. (ZAMG), Neureiter A. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik",,
"AT","KLEINFLEISS K.",547,2018,"COM",20170901,20180422,20180919,">",3050,,0,245,12,14,0.0000000,0.0100000,0.7800000,0.0100000,0.0000000,,,"Hynek B. (ZAMG), Neureiter A. (ZAMG)","ZAMG: Zentralanstalt für Meteorologie und Geodynamik",,
"AT","KLEINFLEISS K.",547,2019,"COM",20180919,20190425,20190919,">",3050,,66,141,12,15,0.1435000,0.0100000,0.6131000,0.0100000,19.00000,,,"Bernhard Hynek, Anton Neureiter","ZAMG",,
"AT","KLEINFLEISS K.",547,2020,,,,,,,,,,,,,,,,,,,,,,
"AT","KLOSTERTALER N",486,1998,,,,,,,,,,,,,,,,,,,,,,
"AT","LANGTALER F.",510,1963,,,,,,3050,,,,,,,,,,44.00000,,,,,"Data from Dyurgerov, M. (2002): [2, 3, 30] For detailed references consult Dyurgerov's Appendix 1!",
"AT","LANGTALER F.",510,1964,,,,,,3150,,,,,,,,,,37.00000,,,,,"Data from Dyurgerov, M. (2002): [2, 3, 30] For detailed references consult Dyurgerov's Appendix 1!",
"AT","LANGTALER F.",510,1965,,,,,,2750,,,,,,,,,,71.00000,,,,,"Data from Dyurgerov, M. (2002): [2, 3, 30] For detailed references consult Dyurgerov's Appendix 1!",
"AT","LANGTALER F.",510,1966,,,,,,2815,,,,,,,,,,65.00000,,,,,"Data from Dyurgerov, M. (2002): [2, 3, 30] For detailed references consult Dyurgerov's Appendix 1!",
"AT","LANGTALER F.",510,1967,,,,,,2820,,,,,,,,,,64.00000,,,,,"Data from Dyurgerov, M. (2002): [2, 3, 30] For detailed references consult Dyurgerov's Appendix 1!",
"AT","LANGTALER F.",510,1968,,,,,,2795,,,,,,,,,,66.00000,,,,,"Data from Dyurgerov, M. (2002): [2, 3, 30] For detailed references consult Dyurgerov's Appendix 1!",
"AT","LANGTALER F.",510,1969,,,,,,2917,,,,,,,,,,44.00000,,,,,"Data from Dyurgerov, M. (2002): [2, 3, 30] For detailed references consult Dyurgerov's Appendix 1!",
"AT","LANGTALER F.",510,1970,,,,,,2975,,,,,,,,,,36.00000,,,,,"Data from Dyurgerov, M. (2002): [2, 3, 30] For detailed references consult Dyurgerov's Appendix 1!",
"AT","OCHSENTALER G.",483,1991,"FXD",19901001,19910430,19910930,,2920,,4,6,6,,1.1100000,,1.5300000,,42.00000,,1995,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
"AT","OCHSENTALER G.",483,1992,"FXD",19911001,19920430,19920930,,3160,,4,6,6,,0.5600000,,2.0800000,,21.00000,,1995,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
"AT","OCHSENTALER G.",483,1993,"FXD",19921001,19930430,19930930,,2865,,4,6,6,,1.5800000,,1.0600000,,60.00000,,1995,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
"AT","OCHSENTALER G.",483,1994,"FXD",19931001,19940430,19940930,,2990,,4,6,6,,0.9000000,,1.7300000,,34.00000,,1995,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
"AT","OCHSENTALER G.",483,1995,"FXD",19941001,19950430,19950930,,2845,,4,6,6,,1.6600000,,0.9500000,,63.00000,,1995,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
"AT","OCHSENTALER G.",483,1996,"FXD",19951001,,19960930,,2880,,,,,,,,,,59.00000,,2000,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
"AT","OCHSENTALER G.",483,1997,"FXD",19961001,,19970930,,2940,,,,,,,,,,66.00000,,2000,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
"AT","OCHSENTALER G.",483,1998,,,,,,2980,,,,,,,,,,36.00000,,2000,"Markl G. (ACINN), Kuhn M. (ACINN)","ACINN: Institute of Atmospheric and Cryospheric Sciences (formerly: Institute of Meteorology and Geophysics, IMGI), University of Innsbruck","Data from Dyurgerov, M.(2002): [30, 69, 75, 75a, 96] For detailed reference information consult Dyurgerov's Appendix 1!",
